row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
139,2019-04-14 15:59:27.982987,14.073936224,1389,1.000000000e-04,1.086848476e-02,1.086848476e-02,6.378833996e-03,2.599246160e-04
140,2019-04-14 15:59:42.090297,14.107296467,1399,1.000000000e-04,9.945944045e-03,9.945944045e-03,5.904032849e-03,1.196102786e-03
141,2019-04-14 15:59:56.202001,14.111739159,1409,1.000000000e-04,1.238131397e-02,1.238131397e-02,7.077198522e-03,1.288271951e-03
142,2019-04-14 16:00:10.303734,14.101696968,1419,1.000000000e-04,1.238412065e-02,1.238412065e-02,7.237310708e-03,1.319482527e-03
143,2019-04-14 16:00:24.416372,14.112685680,1429,1.000000000e-04,1.227483964e-02,1.227483964e-02,7.056098571e-03,1.057136690e-03
144,2019-04-14 16:00:38.467544,14.051152229,1439,1.000000000e-04,1.208398226e-02,1.208398226e-02,6.956438767e-03,8.974978235e-04
145,2019-04-14 16:00:52.557778,14.090229750,1449,1.000000000e-04,1.385185099e-02,1.385185099e-02,8.198056929e-03,1.465483007e-03
146,2019-04-14 16:01:06.662276,14.104453802,1459,1.000000000e-04,9.444928169e-03,9.444928169e-03,5.653442396e-03,2.153015102e-03
147,2019-04-14 16:01:20.776492,14.114237547,1469,1.000000000e-04,9.773318516e-03,9.773318516e-03,5.737612396e-03,1.488018106e-03
148,2019-04-14 16:01:34.889533,14.113039970,1479,1.000000000e-04,1.153672682e-02,1.153672682e-02,6.678173901e-03,1.688771520e-03
149,2019-04-14 16:01:48.987939,14.098385334,1489,1.000000000e-04,1.424116269e-02,1.424116269e-02,8.383192401e-03,1.791459898e-03
150,2019-04-14 16:02:03.068946,14.081003189,1499,1.000000000e-04,1.072034673e-02,1.072034673e-02,6.455950346e-03,1.581774990e-03
151,2019-04-14 16:02:17.152198,14.083266258,1509,1.000000000e-04,1.034280509e-02,1.034280509e-02,5.847620917e-03,1.330736728e-03
152,2019-04-14 16:02:31.227053,14.074859142,1519,1.000000000e-04,1.170137501e-02,1.170137501e-02,6.701122038e-03,9.703219810e-04
153,2019-04-14 16:02:45.310109,14.083149195,1529,1.000000000e-04,1.376753664e-02,1.376753664e-02,7.837907737e-03,6.413801064e-04
154,2019-04-14 16:02:59.342681,14.032470703,1539,1.000000000e-04,9.500369942e-03,9.500369942e-03,5.502523109e-03,4.401515529e-04
