row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
113,2019-04-18 16:04:38.819339,14.178660154,1129,1.000000000e-04,1.074452079e-02,1.074452079e-02,6.233282667e-03,1.634757250e-03,2.629968210e-03,6.959056342e-03
114,2019-04-18 16:04:53.023770,14.204418898,1139,1.000000000e-04,1.159634059e-02,1.159634059e-02,6.863564020e-03,1.647892006e-03,3.155644424e-03,8.289079973e-03
115,2019-04-18 16:05:07.243513,14.219697237,1149,1.000000000e-04,1.041851626e-02,1.041851626e-02,6.178983022e-03,9.641303855e-04,2.543984982e-03,8.545279177e-03
116,2019-04-18 16:05:21.449665,14.206301451,1159,1.000000000e-04,1.188428458e-02,1.188428458e-02,6.730911112e-03,1.276671368e-03,3.316104994e-03,8.954134258e-03
117,2019-04-18 16:05:35.669422,14.219621897,1169,1.000000000e-04,1.297166944e-02,1.297166944e-02,7.293123519e-03,1.175272028e-03,3.198714321e-03,7.702547545e-03
118,2019-04-18 16:05:49.867531,14.198088646,1179,1.000000000e-04,9.682529164e-03,9.682529164e-03,5.616336223e-03,1.077194943e-03,2.918150858e-03,6.246974901e-03
119,2019-04-18 16:06:04.066069,14.198520899,1189,1.000000000e-04,1.286264462e-02,1.286264462e-02,7.399648079e-03,1.549436076e-03,4.432807397e-03,7.640362624e-03
120,2019-04-18 16:06:18.260693,14.194671154,1199,1.000000000e-04,8.972216723e-03,8.972216723e-03,5.428082007e-03,1.098860565e-03,3.069193067e-03,7.481842581e-03
121,2019-04-18 16:06:32.437246,14.176567554,1209,1.000000000e-04,1.133937761e-02,1.133937761e-02,6.741048768e-03,8.708715148e-04,3.069245000e-03,8.560175961e-03
122,2019-04-18 16:06:46.623946,14.186662197,1219,1.000000000e-04,1.267149304e-02,1.267149304e-02,7.255871221e-03,1.873858157e-03,5.203362741e-03,6.822079560e-03
123,2019-04-18 16:07:00.775877,14.151901960,1229,1.000000000e-04,1.225134013e-02,1.225134013e-02,6.943734782e-03,2.095528645e-03,4.762846883e-03,5.855344702e-03
124,2019-04-18 16:07:14.938781,14.163014412,1239,1.000000000e-04,1.007540538e-02,1.007540538e-02,5.921100033e-03,1.386888284e-03,3.190410137e-03,5.856418004e-03
125,2019-04-18 16:07:29.129912,14.191092253,1249,1.000000000e-04,1.136386739e-02,1.136386739e-02,6.457578740e-03,1.016992834e-03,2.949255018e-03,6.575356727e-03
