index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val,strategy,coef_loss_e,coef_loss_t,coef_loss_m,s1_epochs,max_epochs,model_description
137,3421,2019-04-20T012234,28069.0,0.995937645,41.27494431,0.998702526,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
138,2321,ours.png,,0.9826797840000001,38.96185684,0.993884623,base(deep_voxel_flow),,,,,,[Baseline]  Deep Voxel Flow
139,1771,2019-04-21T092001,28069.0,0.964049995,32.59361649,0.978146732,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
140,2381,2019-04-23T141504,14034.0,0.960617959,31.03906059,0.987029552,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
141,1591,2019-04-20T215827,28069.0,0.828358412,27.95751381,0.933264732,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
142,91,2019-04-18T164451,14034.0,0.99225229,42.93545532,0.997906029,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
143,3371,2019-04-17T191452,0.0,0.988307536,39.68988037,0.996049821,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
144,3641,2019-04-18T233637,14034.0,0.893261909,29.1981411,0.97566843,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
145,2931,2019-04-20T012234,28069.0,0.978007793,39.24988174,0.991890252,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
146,11,2019-04-21T224636,28069.0,0.9128968120000001,27.47070694,0.943679154,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
